id,business_name,country,city,maps_profile,website_status,social,contact,owner,why_need_website,quality
301,Blue Diamond Growers,USA,"Sacramento, CA","https://maps.google.com/?q=Blue+Diamond+Growers+Sacramento,+CA",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @bluediamondgrow / FB: Blue Diamond Growers,General Inquiries | support@bluediamond.com,Mark Jansen (CEO),your world-renowned California almonds and gourmet snack tins deserve a luxury direct-to-consumer digital gift boutique.,High
302,Sunsweet Growers,USA,"Yuba City, CA","https://maps.google.com/?q=Sunsweet+Growers+Yuba+City,+CA",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @sunsweetgrowers / FB: Sunsweet Growers,General Inquiries | info@sunsweet.com,Brad Schuler (CEO),"as the global leader in dried prunes and specialty fruits, a modern interactive gift box builder would unlock higher retail margins.",High
303,Setton Farms,USA,"Terra Bella, CA","https://maps.google.com/?q=Setton+Farms+Terra+Bella,+CA",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @settonfarms / FB: Setton Farms,General Inquiries | info@settonfarms.com,Lee Cohen (General Manager),"your premium California pistachios and pistachio chews deserve an ultra-luxurious, editorial e-commerce presentation.",High
304,Tierra Farm,USA,"Valatie, NY","https://maps.google.com/?q=Tierra+Farm+Valatie,+NY",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @tierrafarm / FB: Tierra Farm,General Inquiries | info@tierrafarm.com,Dan Kelly (CEO),your certified organic roasted nuts and dried fruits would see higher basket values with automated corporate gifting tins.,High
305,Sahale Snacks,USA,"Seattle, WA","https://maps.google.com/?q=Sahale+Snacks+Seattle,+WA",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @sahalesnacks / FB: Sahale Snacks,General Inquiries | info@sahalesnacks.com,Josh Schroeter (Co-Founder),your glazed nut mixes and fruit snack blends would convert at higher order values with our turnkey custom gift set configurator.,High
306,Diamond of California,USA,"Stockton, CA","https://maps.google.com/?q=Diamond+of+California+Stockton,+CA",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @diamondofcalifo / FB: Diamond of California,General Inquiries | info@diamondnuts.com,Craig Tokusato (CMO),your 110-year California heritage in culinary walnuts and pecans would thrive with a modern direct-to-consumer store.,High
307,Fisher Nuts (John B. Sanfilippo),USA,"Elgin, IL","https://maps.google.com/?q=Fisher+Nuts+(John+B.+Sanfilippo)+Elgin,+IL",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @fishernutsjohnb / FB: Fisher Nuts (John B. Sanfilippo),General Inquiries | info@fishernuts.com,Jeffrey Sanfilippo (CEO),your fresh-roasted nuts and orchard pecan favorites would convert higher with an express one-click mobile cart.,High
308,Planters Nut & Chocolate Co.,USA,"Austin, MN","https://maps.google.com/?q=Planters+Nut+&+Chocolate+Co.+Austin,+MN",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @plantersnutchoc / FB: Planters Nut & Chocolate Co.,General Inquiries | customercare@planters.com,Jim Snee (Chairman),the legendary Mr. Peanut brand could capture high-margin holiday gifting orders with custom customizable nut tin composers.,High
309,Western Nut Company,USA,"Salt Lake City, UT","https://maps.google.com/?q=Western+Nut+Company+Salt+Lake+City,+UT",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @westernnutcompa / FB: Western Nut Company,General Inquiries | sales@westernnut.com,Steve Western (President),"your freshly roasted cashews, almonds, and Utah gift tins deserve a modern, responsive digital storefront.",High
310,Cane River Pecan Company,USA,"New Iberia, LA","https://maps.google.com/?q=Cane+River+Pecan+Company+New+Iberia,+LA",Traditional web shop lacking an interactive custom gift tin builder and modern mobile checkout,IG: @caneriverpecanc / FB: Cane River Pecan Company,General Inquiries | info@caneriverpecan.com,Jady Regard (President),your Louisiana gourmet pecan tins and chocolate nuts would thrive with an interactive holiday gift configurator.,High
